date,salesperson,region,product,units,revenue
2026-01-01,Bilal,East,Product B,60,18240.22
2026-01-01,Sara,Central,Product E,86,28335.52
2026-01-01,Fatima,Central,Product B,21,5599.1
2026-01-01,Ayesha,West,Product A,21,5397.55
2026-01-01,Ali,West,Product C,24,7632.12
2026-01-02,Usman,West,Product F,81,32107.55
2026-01-02,Zara,East,Product A,63,15738.79
2026-01-03,Hamza,South,Product D,88,21886.67
2026-01-03,Fatima,West,Product F,24,8275.03
2026-01-03,Ali,Central,Product E,20,7041.5
2026-01-04,Sara,North,Product B,13,4082.72
2026-01-04,Usman,East,Product E,53,20242.19
2026-01-05,Bilal,South,Product C,16,4654.46
2026-01-05,Hina,South,Product B,54,17223.93
2026-01-05,Bilal,Central,Product E,18,7109.78
2026-01-06,Ali,Central,Product B,49,12842.31
2026-01-06,Sara,North,Product B,97,30296.07
2026-01-07,Zara,Central,Product E,58,17940.24
2026-01-07,Hamza,Central,Product F,77,28249.62
2026-01-07,Bilal,West,Product D,91,18913.03
2026-01-08,Bilal,Central,Product A,63,15129.07
2026-01-08,Hamza,West,Product A,33,9468.34
2026-01-08,Fatima,East,Product E,91,34308.34
2026-01-08,Ayesha,South,Product F,20,8592.51
2026-01-08,Bilal,South,Product A,12,3403.81
2026-01-08,Bilal,West,Product B,100,29439.25
2026-01-08,Sara,North,Product E,41,15323.53
2026-01-09,Ahmed,East,Product A,21,5630.71
2026-01-10,Sara,West,Product D,9,2013.94
2026-01-10,Sara,East,Product C,35,9107.46
2026-01-11,Ali,North,Product D,61,12937.9
2026-01-12,Usman,East,Product A,100,22884.26
2026-01-13,Bilal,South,Product C,83,27302.23
2026-01-14,Usman,North,Product D,69,14606.02
2026-01-14,Ahmed,North,Product C,35,10779.89
2026-01-14,Zara,Central,Product C,82,25094.78
2026-01-15,Ali,East,Product A,42,10054.16
2026-01-15,Ahmed,South,Product B,12,3107.49
2026-01-15,Hina,North,Product C,13,3762.73
2026-01-16,Usman,West,Product B,50,12801.81
2026-01-16,Ayesha,West,Product F,80,30984.98
2026-01-16,Ali,West,Product D,59,13704.66
2026-01-16,Sara,Central,Product B,53,14483.09
2026-01-16,Sara,South,Product B,69,19911.3
2026-01-17,Fatima,North,Product B,12,3124.64
2026-01-17,Ayesha,East,Product F,41,17398.7
2026-01-17,Usman,Central,Product A,35,7978.46
2026-01-18,Ali,Central,Product A,12,3394.65
2026-01-18,Hamza,Central,Product E,78,28754.01
2026-01-18,Ali,Central,Product D,95,20075.99
2026-01-18,Bilal,North,Product C,38,12944.68
2026-01-19,Hamza,West,Product B,46,11907.29
2026-01-20,Hamza,North,Product D,63,15219.71
2026-01-20,Ahmed,West,Product B,9,2895.86
2026-01-20,Bilal,West,Product A,17,3911.87
2026-01-20,Sara,North,Product A,27,7345.78
2026-01-21,Zara,North,Product D,89,20071.49
2026-01-21,Ali,North,Product B,96,25533.64
